stage,profile,config_name,EbN0_dB,seed_base,seed_count,layer_order,decoder_cycles_per_iteration,syndrome_S,syndrome_Q,syndrome_valid,syndrome_tail,effective_iteration_boundary,blocks,requested_blocks,completed_requested_blocks,block_errors,BLER,BLER_CI95_low,BLER_CI95_high,bit_errors_info,BER,avg_iterations,avg_iteration_se,max_iterations_observed,fraction_reaching_max_iterations,expected_latency_cycles,syndrome_pass_count,convergence_failures,undetected_errors,channel_quantizer_clip_count,app_init_saturation_count,q_sub_saturation_count,check_magnitude_clip_count,app_update_saturation_count,saturation_block_fraction,w_CH,w_APP,w_q,w_M,channel_gain,ch_to_app_shift,beta_int,beta_equiv,saturation_rule,screen_rank,screen_quality_pass,screen_retained_top5,aggregate_blocks,aggregate_block_errors,aggregate_BLER,aggregate_expected_latency_cycles
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,0-1-3-2,77,8,8,True,1,78,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.038000,0.025027,7,0.000000,314.964,500,0,0,19688,0,833,6601115,1131628,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,16,True,False,1500,41,0.02733333,491.504
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,3-2-0-1,71,8,8,True,1,72,500,500,True,50,0.10000000,0.07667756,0.12942191,3455,0.0008179451,9.080000,0.078992,12,0.154000,653.760,445,55,0,2782,0,130,5198011,530188,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,17,True,False,1500,50,0.03333333,491.952
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,3-2-0-1,71,8,8,True,1,72,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.870000,0.053740,12,0.004000,494.640,500,0,0,5013,0,404,6331983,892421,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,17,True,False,1500,50,0.03333333,491.952
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,3-2-0-1,71,8,8,True,1,72,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.548000,0.025312,7,0.000000,327.456,500,0,0,19688,0,701,6798891,1385863,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,17,True,False,1500,50,0.03333333,491.952
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,0-2-3-1,72,8,8,True,1,73,500,500,True,53,0.10600000,0.08195705,0.13605093,3532,0.0008361742,9.004000,0.078717,12,0.138000,657.292,446,54,0,2782,0,180,4738158,381350,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,18,True,False,1500,54,0.03600000,494.259
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,0-2-3-1,72,8,8,True,1,73,500,500,True,1,0.00200000,0.00035314,0.01124071,32,0.0000075758,6.820000,0.054966,12,0.004000,497.860,499,1,0,5013,0,380,5735886,674205,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,18,True,False,1500,54,0.03600000,494.259
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,0-2-3-1,72,8,8,True,1,73,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.488000,0.025079,6,0.000000,327.624,500,0,0,19688,0,763,6204841,1053215,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,18,True,False,1500,54,0.03600000,494.259
layer_order_screen,BG1_first4_high_rate,F1,4.2,72260819,500,3-0-1-2,75,8,8,True,1,76,500,500,True,47,0.09400000,0.07142641,0.12276456,3102,0.0007343750,8.794000,0.082685,12,0.140000,668.344,453,47,0,2782,0,105,4821105,336529,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,19,True,False,1500,47,0.03133333,494.507
layer_order_screen,BG1_first4_high_rate,F1,4.4,74260819,500,3-0-1-2,75,8,8,True,1,76,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,6.504000,0.054863,12,0.002000,494.304,500,0,0,5013,0,314,5238928,489289,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,19,True,False,1500,47,0.03133333,494.507
layer_order_screen,BG1_first4_high_rate,F1,4.9,79260819,500,3-0-1-2,75,8,8,True,1,76,500,500,True,0,0.00000000,0.00000000,0.00762434,0,0.0000000000,4.222000,0.022858,6,0.000000,320.872,500,0,0,19688,0,768,5958285,862403,1.000000,6,8,8,6,1.32,1,1,0.378788,asymmetric two's-complement,19,True,False,1500,47,0.03133333,494.507
